PRN,Timestamp,X_km,Y_km,Z_km
PG27,2026-04-01 01:45:0.00000000,-18857.432883,-5723.783923,17642.13152
PG28,2026-04-01 01:45:0.00000000,-10697.643813,-11833.149571,-21228.530198
PG29,2026-04-01 01:45:0.00000000,-561.067479,-22247.495117,-14424.847694
PG30,2026-04-01 01:45:0.00000000,5963.039003,18256.6407,18440.098312
PG31,2026-04-01 01:45:0.00000000,-16235.923383,-1729.81765,-21282.822924
PG32,2026-04-01 01:45:0.00000000,-16232.289629,-20861.760224,-3194.58909
PG01,2026-04-01 02:00:0.00000000,-15328.014232,20985.510129,5267.722279
PG02,2026-04-01 02:00:0.00000000,-16420.507987,12949.811842,16414.450527
PG03,2026-04-01 02:00:0.00000000,-17823.628825,11993.128822,-15735.945133
PG04,2026-04-01 02:00:0.00000000,-7215.892465,14741.080346,-20813.450257
PG05,2026-04-01 02:00:0.00000000,26071.258122,-4974.480404,1306.931151
PG06,2026-04-01 02:00:0.00000000,8685.59364,13873.213771,-20817.828451
PG07,2026-04-01 02:00:0.00000000,-4186.149094,24779.074113,8553.909377
PG08,2026-04-01 02:00:0.00000000,-16144.131026,3880.142131,20625.30049
PG09,2026-04-01 02:00:0.00000000,2630.641263,21226.26489,-15795.819455
PG10,2026-04-01 02:00:0.00000000,-14437.431569,-11385.43995,19561.465452
PG11,2026-04-01 02:00:0.00000000,16343.095923,-380.652864,-20865.527025
PG12,2026-04-01 02:00:0.00000000,20711.89694,-10238.397854,-13392.251811
PG13,2026-04-01 02:00:0.00000000,17392.952863,5088.421514,19239.383306
PG14,2026-04-01 02:00:0.00000000,11404.084879,13495.914434,20003.282022
PG15,2026-04-01 02:00:0.00000000,14823.921491,-6443.995065,20540.546469
PG16,2026-04-01 02:00:0.00000000,-26613.147904,-1548.859314,-3104.260818
PG17,2026-04-01 02:00:0.00000000,12388.475256,23153.237567,3217.305469
PG18,2026-04-01 02:00:0.00000000,3633.747311,-24188.040388,10058.103172
PG19,2026-04-01 02:00:0.00000000,17089.606138,19588.369608,-6752.309877
PG20,2026-04-01 02:00:0.00000000,18273.291873,1658.014338,19257.77131
PG21,2026-04-01 02:00:0.00000000,25603.452712,2384.308931,-6728.503125
PG22,2026-04-01 02:00:0.00000000,16423.361374,11858.522126,17337.26453
